Period,Fund name,ABN,Merger,Merged,Acquirer,NetAssets,MemFlowIn,MemFlowOut,InRoll,SMSFIn,SFTIn,OutRoll,SMSFOut,SFTOut,1YrRet,Merger_y,Merged_y,Acquirer_y,AvgMemBal,Fail,NetFlowsIn,NetFlowsOut,TotalFundFlows,FundOutflowRatio,Log_AvgMemBal,Lag_1YrRet,FlowRatio,NetRollIn,NetRollOut
2020-06-30,AMG Super,30099320583.0,0.0,0.0,0,1221394.0,67579.0,58619.0,126184.0,10136,0.0,93122.0,16209,0.0,-0.038,0.0,0.0,0,50000000000.0,0.0,193763.0,151741.0,345504.0,0.43918739001574514,10.819798284210286,0.073,193762.87576408594,126184.0,93122.0
2021-06-30,AMG Super,30099320583.0,0.0,0.0,0,1215794.0,79792.0,68596.0,147061.0,9767,0.0,61008.0,11926,0.0,0.19,0.0,0.0,0,99000000000.0,0.0,226853.0,129604.0,356457.0,0.36358943715511266,11.502885230075814,-0.038,226852.89339970422,147061.0,61008.0
2022-06-30,AMG Super,30099320583.0,0.0,0.0,0,1551683.0,100125.0,49356.0,159722.0,8514,0.0,96696.0,20905,0.0,-0.072,0.0,0.0,0,103000000000.0,1.0,259847.0,146052.0,405899.0,0.3598235028911133,11.542493975902508,0.19,259846.90587510465,159722.0,96696.0
2020-06-30,AMP Eligible Rollover Fund,32931224407.0,0.0,0.0,0,1314606.0,-22.0,238986.0,110372.0,0,0.0,203881.0,11195,0.0,0.041,0.0,0.0,0,11000000000.0,0.0,110350.0,442867.0,553217.0,0.800530352465669,9.305741456739435,0.024,110349.66311807492,110372.0,203881.0
2021-06-30,AMP Eligible Rollover Fund,32931224407.0,0.0,0.0,0,1029266.0,3.0,106156.0,87530.0,0,0.0,138436.0,9505,0.0,0.023,0.0,0.0,0,28000000000.0,0.0,87533.0,244592.0,332125.0,0.7364456153556643,10.239995502805316,0.041,87532.76236269341,87530.0,138436.0
2020-06-30,AMP Super Fund,78421957449.0,0.0,0.0,0,3278918.0,631852.0,773560.0,57304814.0,0,57126050.0,2627072.0,43529,713375.0,0.07,0.0,0.0,0,66000000000.0,0.0,810616.0,2687257.0,3497873.0,0.7682545935772969,11.097425172408931,0.054,810615.1804439757,178764.0,1913697.0
2021-06-30,AMP Super Fund,78421957449.0,0.0,0.0,0,59917676.0,3040938.0,2507227.0,879885.0,0,0.0,8135793.0,398585,0.0,0.176,0.0,0.0,0,73000000000.0,0.0,3920823.0,10643020.0,14563843.0,0.73078376359866,11.19822841866684,0.07,3920822.8223726167,879885.0,8135793.0
2022-06-30,AMP Super Fund,78421957449.0,0.0,0.0,0,63031154.0,3115229.0,1953522.0,884896.0,0,0.0,6764260.0,438358,318817.0,-0.054,0.0,0.0,0,73000000000.0,0.0,4000125.0,8398965.0,12399090.0,0.6773855984592417,11.19822841866684,0.176,4000124.866748989,884896.0,6445443.0
2020-06-30,ASGARD Independence Plan Division Two,90194410365.0,0.0,0.0,0,22934010.0,885887.0,1355122.0,683221.0,71275,0.0,1685363.0,113318,0.0,-0.027,0.0,0.0,0,111000000000.0,0.0,1569108.0,3040485.0,4609593.0,0.6595994483677843,11.6172944892629,0.062,1569107.867424624,683221.0,1685363.0
2021-06-30,ASGARD Independence Plan Division Two,90194410365.0,0.0,0.0,0,20815492.0,835827.0,1213155.0,545552.0,42217,0.0,1663061.0,144109,0.0,0.182,0.0,0.0,0,143000000000.0,0.0,1381379.0,2876216.0,4257595.0,0.6755494592604511,11.870606902224587,-0.027,1381378.8618232997,545552.0,1663061.0
2022-06-30,ASGARD Independence Plan Division Two,90194410365.0,0.0,0.0,0,22915026.0,660322.0,1152258.0,367609.0,34625,0.0,4821289.0,146891,2866736.0,-0.056,0.0,0.0,0,176000000000.0,1.0,1027931.0,3106811.0,4134742.0,0.7513917434267966,12.07824495582233,0.182,1027930.8644203589,367609.0,1954553.0
2020-06-30,Advance Retirement Suite,95068282166.0,0.0,0.0,0,243957.0,4205.0,14080.0,1602.0,208,0.0,20187.0,587,0.0,-0.058,0.0,0.0,0,58000000000.0,0.0,5807.0,34267.0,40074.0,0.8550930778060588,10.968215530759236,0.059,5806.859536721636,1602.0,20187.0
2020-06-30,Alcoa of Australia Retirement Plan,80928800255.0,0.0,0.0,0,2237471.0,58736.0,104383.0,17181.0,232,0.0,81168.0,12265,0.0,-0.004,0.0,0.0,0,383000000000.0,0.0,75917.0,185551.0,261468.0,0.7096508941820796,12.855792879125431,0.053,75916.91707110393,17181.0,81168.0
2021-06-30,Alcoa of Australia Retirement Plan,80928800255.0,0.0,0.0,0,2119971.0,61578.0,81470.0,16312.0,100,0.0,97376.0,7134,0.0,0.146,0.0,0.0,0,421000000000.0,0.0,77890.0,178846.0,256736.0,0.6966144210395114,12.95039048795861,-0.004,77889.91563752524,16312.0,97376.0
2022-06-30,Alcoa of Australia Retirement Plan,80928800255.0,0.0,0.0,0,2321451.0,57086.0,87751.0,16846.0,551,0.0,107654.0,4689,0.0,-0.02,0.0,0.0,0,407000000000.0,0.0,73932.0,195405.0,269337.0,0.7255037369540761,12.91657092142417,0.146,73931.9158263517,16846.0,107654.0
2020-06-30,Aracon Superannuation Fund,40586548205.0,0.0,0.0,0,334612.0,10801.0,24399.0,50957.0,6437,0.0,11351.0,17,0.0,-0.009,0.0,0.0,0,263000000000.0,0.0,61758.0,35750.0,97508.0,0.36663658366493007,12.479913113434042,0.044,61757.89315983886,50957.0,11351.0
2021-06-30,Aracon Superannuation Fund,40586548205.0,0.0,0.0,0,357501.0,22615.0,26572.0,128194.0,13501,0.0,4802.0,226,0.0,0.153,0.0,0.0,0,264000000000.0,0.0,150809.0,31374.0,182183.0,0.17221145771010468,12.483708170000067,-0.009,150808.91224080493,128194.0,4802.0
