Period,Fund name,ABN,Merger,Merged,Acquirer,Fund type,25,34,44,49,54,59,64,69,74,84,85%,1000,24999,49000,99999,199999,499999,999999,1000000,cash,fi,equity,prop,infra,comm,Other,NtOuRt,1YrRet,TtlAst
2022,Alcoa of Australia Retirement Plan,80928800255,0,0,0,Corporate,0.0,0.02,0.08,0.09,0.15,0.23,0.22,0.11,0.06,0.04,0.0,0.01,0.08,0.05,0.07,0.13,0.36,0.25,0.06,0.15,0.27,0.43,0.08,0.06,0.0,0.01,2.643,-0.02,2172137
2022,AMG Super,30099320583,0,0,0,Retail,0.0,0.06,0.2,0.1,0.1,0.11,0.15,0.11,0.09,0.07,0.01,0.04,0.34,0.16,0.17,0.15,0.1,0.02,0.01,0.16,0.14,0.63,0.05,0.01,0.0,0.0,0.562,-0.072,1553647
2022,AMP Super Fund,78421957449,0,0,0,Retail,0.01,0.05,0.19,0.14,0.16,0.15,0.12,0.07,0.05,0.05,0.0,0.09,0.37,0.15,0.16,0.14,0.08,0.01,0.0,0.08,0.19,0.58,0.08,0.01,0.0,0.06,2.179,-0.054,55838175
2022,Aracon Superannuation Fund,40586548205,0,0,0,Retail,0.0,0.01,0.04,0.04,0.06,0.05,0.13,0.18,0.26,0.18,0.07,0.18,0.1,0.07,0.13,0.2,0.19,0.1,0.03,0.09,0.27,0.42,0.02,0.02,0.0,0.17,0.392,-0.068,595099
2022,ASGARD Independence Plan Division Two,90194410365,0,0,0,Retail,0.0,0.01,0.07,0.06,0.08,0.1,0.15,0.16,0.16,0.18,0.02,0.08,0.13,0.11,0.18,0.22,0.21,0.06,0.02,0.13,0.21,0.52,0.06,0.02,0.0,0.05,5.811,-0.056,16839656
2022,Australian Catholic Superannuation and Retirement Fund,24680629023,0,0,0,Industry,0.0,0.04,0.12,0.09,0.12,0.13,0.18,0.15,0.1,0.06,0.0,0.12,0.26,0.11,0.15,0.18,0.14,0.04,0.01,0.17,0.16,0.37,0.12,0.18,0.0,0.01,1.785,-0.013,10222017
2022,Australian Defence Force Superannuation Scheme,90302247344,0,0,0,Public Sector,0.37,0.42,0.11,0.03,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.05,0.41,0.28,0.23,0.03,0.01,0.0,0.0,0.14,0.09,0.55,0.08,0.07,0.0,0.07,0.078,-0.046,1112831
2022,Australian Ethical Retail Superannuation Fund,49633667743,0,0,0,Retail,0.01,0.14,0.28,0.14,0.12,0.1,0.09,0.06,0.03,0.02,0.0,0.14,0.37,0.16,0.15,0.11,0.05,0.01,0.0,0.03,0.25,0.63,0.09,0.01,0.0,0.0,0.193,-0.085,4299189
2022,Australian Meat Industry Superannuation Trust,28342064803,0,0,0,Industry,0.02,0.1,0.22,0.14,0.16,0.14,0.12,0.06,0.03,0.01,0.0,0.17,0.48,0.11,0.12,0.09,0.03,0.0,0.0,0.07,0.14,0.51,0.2,0.08,0.0,0.0,0.728,-0.011,2563097
2022,Australian Retirement Trust,60905115063,1,0,0,Industry,0.01,0.07,0.17,0.11,0.14,0.15,0.14,0.1,0.06,0.04,0.0,0.15,0.34,0.11,0.12,0.13,0.11,0.03,0.01,0.11,0.22,0.46,0.08,0.1,0.0,0.03,0.063,-0.047,247360562
